ID,Pos,Player,Team,Eligible,Status,Age,Opponent,IP,SV,HLD,K,ERA,WHIP,W+QS,GP,FANTRAXID,IDFANGRAPHS,MLBID,TBF,FIP,xFIP,SIERA,K-BB%,HardHit%,BABIP+,Stuff+,Location+,Pitching+,CSW%,Pitches,K%,BB%,est_woba_minus_woba_diff,era_minus_xera_diff,bip,brl_percent,ev95plus,avg_hit_speed,avg_hit_angle,team_name
*01spo*,P,Gerrit Cole,NYY,SP,Act,33,STL Sun 12:35PM,63.0,0,0,69,3.86,1.333,9,12,*01spo*,13125,543037.0,270.0,4.44,4.03,3.86,0.174,0.40299999999999997,109.0,112.0,100.0,104.0,0.278,1088.0,0.256,0.081,0.011,-0.403,176.0,9.1,71.0,90.0,16.4,The Geriatric and Injured
*05ucd*,P,Mason Miller,OAK,"SP,RP",Act,26,@TEX Sun 1:35PM,52.0,23,0,86,2.08,0.846,1,44,*05ucd*,31757,695243.0,198.0,1.71,2.16,1.86,0.34299999999999997,0.312,90.0,148.0,102.0,108.0,0.365,821.0,0.434,0.091,0.001,0.417,93.0,4.3,29.0,85.9,19.7,The Geriatric and Injured
*01fhm*,P,Martin Perez,SD,"SP,RP",Act,33,@TB Sun 12:40PM,114.2,0,0,91,4.71,1.535,11,22,*01fhm*,6902,527048.0,506.0,5.06,4.53,4.67,0.09699999999999999,0.425,111.0,72.0,103.0,95.0,0.271,1914.0,0.18,0.083,0.0,-0.901,369.0,9.2,157.0,89.0,11.0,The Geriatric and Injured
*0311c*,P,Devin Williams,MIL,RP,Act,29,@CIN Sun 11:10AM,11.1,7,0,20,2.38,1.147,0,12,*0311c*,15816,642207.0,45.0,2.98,2.91,2.69,0.267,0.2,89.0,137.0,87.0,94.0,0.28,189.0,0.4,0.133,0.013,0.101,20.0,10.0,4.0,81.0,17.7,The Geriatric and Injured
*05y0j*,SP,Spencer Arrighetti,HOU,SP,Res,24,KC Sun 1:10PM,124.1,0,0,151,4.63,1.375,15,24,*05y0j*,29921,681293.0,539.0,4.04,4.0,3.9,0.174,0.4,111.0,94.0,99.0,99.0,0.298,2142.0,0.28,0.106,0.017,0.823,325.0,8.0,131.0,89.0,17.0,The Geriatric and Injured
*05r3g*,SP,Mason Black,SF,SP,Res,24,MIA Sun 3:05PM,19.1,0,0,16,7.45,1.655,0,5,*05r3g*,30171,696131.0,72.0,7.5,6.53,5.64,0.042,0.365,120.0,94.0,98.0,94.0,0.228,263.0,0.139,0.09699999999999999,0.007,-0.519,52.0,13.5,19.0,90.3,22.2,The Geriatric and Injured
*03aac*,SP,Walker Buehler,LAD,SP,Res,30,@ARI Sun 3:10PM,49.0,0,0,39,5.88,1.633,3,11,*03aac*,19374,621111.0,230.0,5.85,4.79,4.76,0.091,0.373,109.0,96.0,102.0,101.0,0.253,910.0,0.17,0.078,0.034,0.728,169.0,7.1,65.0,88.8,12.4,The Geriatric and Injured
*04cd5*,SP,MacKenzie Gore,WSH,SP,Res,25,CHC Sun 12:35PM,137.2,0,0,146,4.45,1.547,15,27,*04cd5*,22201,669022.0,621.0,3.67,4.01,4.14,0.147,0.375,124.0,112.0,98.0,101.0,0.257,2545.0,0.235,0.08900000000000001,0.015,-0.024,411.0,6.6,155.0,87.8,14.1,The Geriatric and Injured
*041q4*,RP,Kyle Muller,OAK,"SP,RP",Res,26,@TEX Sun 1:35PM,42.2,0,0,35,4.22,1.266,0,18,*041q4*,20167,666205.0,178.0,4.06,3.91,3.76,0.146,0.436,109.0,88.0,104.0,105.0,0.272,640.0,0.19699999999999998,0.051,0.001,0.099,133.0,8.3,58.0,90.2,14.3,The Geriatric and Injured
*04g1x*,SP,David Peterson,NYM,SP,Res,28,@CHW Sun 1:10PM,92.1,0,0,70,2.83,1.321,17,16,*04g1x*,20302,656849.0,390.0,4.24,4.4,4.67,0.079,0.429,95.0,93.0,97.0,95.0,0.267,1451.0,0.179,0.1,-0.0419999999999999,-2.293,275.0,7.6,118.0,89.8,6.3,The Geriatric and Injured
