,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,LD%,GB%,FB%,IFFB%,Pull%,SwStr%,PlayerId,EDB Team,TWTC Team,BL Team
91,Drew Millas,WSN,AAA,26,54,195,212,58,37,11,2,8,26,31,16,30,0,8,1,0.075471698,0.141509433,0.297435897,0.349056603,0.497435897,0.8464925,0.2,0.316455696,0.368397799430865,114.823718118353,0.233128834,0.496932515,0.26993865,0.25,0.5060241,0.09113608,25643,,,
92,Grant McCray,SFG,"AA,AAA",23,97,372,421,90,45,26,7,12,62,53,45,121,4,14,3,0.106888361,0.287410926,0.241935483,0.33016627,0.446236559,0.776402829,0.204301076,0.326359832,0.346366060884434,104.528339410117,0.239837398,0.414634146,0.345528455,0.152941176,0.34661355,0.15640394,25690,,,
93,Blake Sabol,SFG,"AA,AAA",26,76,272,324,63,44,11,1,7,38,41,41,79,4,9,1,0.126543209,0.24382716,0.231617647,0.335403726,0.356617647,0.692021373,0.125,0.293193717,0.319938032338337,77.8732323774704,0.229591836,0.423469387,0.346938775,0.132352941,0.38190955,0.13278689,25805,,,
94,Grae Kessinger,HOU,AAA,26,45,176,197,51,39,6,1,5,31,19,20,46,0,4,1,0.101522842,0.233502538,0.289772727,0.360406091,0.420454545,0.780860636,0.130681818,0.365079365,0.349717423319816,95.6159127143852,0.3,0.361538461,0.338461538,0.159090909,0.4887218,0.08962868,25813,,,
95,Andre Lipcius,LAD,AAA,26,110,440,496,124,79,22,2,21,71,72,52,109,2,9,3,0.104838709,0.219758064,0.281818181,0.358870967,0.484090909,0.842961876,0.202272728,0.330128205,0.369479990414073,107.944908937419,0.240853658,0.362804878,0.396341463,0.153846153,0.47005988,0.13382353,25822,,,
96,Michael Toglia,COL,AAA,25,30,119,135,33,18,4,2,9,20,27,15,35,1,1,2,0.111111111,0.259259259,0.277310924,0.362962962,0.571428571,0.934391533,0.294117647,0.32,0.397077326421384,125.161672821239,0.204819277,0.385542168,0.409638554,0.264705882,0.46428571,0.11937378,25845,BurghtownOs,Tokyo Airport Sushi,
97,Ryan Kreidler,DET,"A,AAA",26,41,141,163,28,21,2,2,3,12,11,17,52,4,3,0,0.104294478,0.319018404,0.19858156,0.302469135,0.304964539,0.607433674,0.106382979,0.290697674,0.287212549536316,64.7510866153598,0.273809523,0.404761904,0.321428571,0.222222222,0.55555556,0.16587678,25867,,,
98,Orelvis Martinez,TOR,AAA,22,63,235,269,61,31,14,0,16,46,46,24,65,7,0,0,0.08921933,0.241635687,0.259574468,0.343283582,0.523404255,0.866687837,0.263829787,0.288461538,0.375294540800265,119.244366280194,0.23668639,0.325443786,0.437869822,0.243243243,0.46242775,0.16585366,25967,Florence Y'alls,Dick Pole's Tent Pitching Camp,
99,Vaughn Grissom,BOS,AAA,23,26,92,108,23,18,3,0,2,8,11,15,22,1,6,0,0.138888888,0.203703703,0.25,0.361111111,0.347826086,0.708937197,0.097826086,0.308823529,0.333758021394411,92.6204393666191,0.271428571,0.471428571,0.257142857,0.055555555,0.38571429,0.10273973,26031,Aidand4,Greenville Drive,Mr.Baseball
100,Brett Baty,NYM,AAA,24,53,200,234,49,27,8,0,14,34,39,29,48,3,1,0,0.123931623,0.205128205,0.245,0.346153846,0.495,0.841153846,0.25,0.25,0.367641375105605,114.338868009595,0.209150326,0.444444444,0.346405228,0.245283018,0.44805195,0.10298661,26123,,Wander if she's Legal,The Jobu’s
101,Dominic Fletcher,CHW,"AAA,CPX",26,28,107,120,26,18,6,0,2,14,7,11,19,1,0,1,0.091666666,0.158333333,0.242990654,0.319327731,0.355140186,0.674467917,0.112149532,0.279069767,0.311427706930817,78.0614810074797,0.209302325,0.395348837,0.395348837,0.205882352,0.43820225,0.07522124,26149,,,
102,Kyle Stowers,BAL,AAA,26,58,229,264,55,20,16,1,18,41,55,26,66,4,0,0,0.098484848,0.25,0.240174672,0.321969696,0.554585152,0.876554848,0.31441048,0.246666666,0.370074130368955,115.898206617079,0.196319018,0.368098159,0.435582822,0.14084507,0.47560976,0.17731959,26151,BurghtownOs,,
103,Tyler Fitzgerald,SFG,AAA,26,17,71,87,22,9,5,0,8,17,21,9,24,4,1,2,0.103448275,0.275862068,0.309859154,0.40229885,0.718309859,1.120608709,0.408450705,0.333333333,0.453374422144615,160.282954243289,0.16,0.34,0.5,0.12,0.46,0.09915014,26208,,Tokyo Airport Sushi,
104,Darell Hernaiz,OAK,AAA,22,15,52,60,16,10,4,0,2,11,5,7,10,0,3,0,0.116666666,0.166666666,0.307692307,0.383333333,0.5,0.883333333,0.192307693,0.341463414,0.386639163891474,118.649762410365,0.142857142,0.428571428,0.428571428,0.166666666,0.34883721,0.07692308,26224,,,
105,Kameron Misner,TBR,AAA,26,94,368,433,91,51,22,3,15,65,45,59,132,4,27,3,0.13625866,0.304849884,0.247282608,0.355658198,0.445652173,0.801310371,0.198369565,0.340807174,0.358653333253177,108.577745681626,0.273109243,0.399159663,0.327731092,0.166666666,0.51046025,0.13897597,26374,,,
106,Kyren Paris,LAA,"AA,AAA",22,42,149,172,25,15,6,2,2,19,17,15,59,2,13,2,0.087209302,0.343023255,0.167785234,0.245614035,0.275167785,0.52078182,0.107382551,0.247311827,0.239407562024412,38.0695165461423,0.096774193,0.494623655,0.40860215,0.184210526,0.46315789,0.15611814,26420,,,
107,Matt Wallner,MIN,AAA,26,67,259,297,67,32,15,1,19,45,53,32,91,3,5,0,0.107744107,0.306397306,0.258687258,0.343434343,0.544401544,0.887835887,0.285714286,0.315789473,0.380667225479678,122.688130136205,0.267857142,0.321428571,0.410714285,0.231884057,0.43859649,0.15743945,26466,BurghtownOs,Wander if she's Legal,
