ID,Pos,Player,Team,Eligible,Status,Age,Opponent,AB,H,R,HR,RBI,SO,SB,OPS,GP,FANTRAXID,IDFANGRAPHS,MLBID,wOBA,xwOBA,BABIP+,K%,BB%,wRC+,PA,Contact%,Swing%,Pitches,Z-Swing%,O-Swing%,HardHit%,Zone%,est_woba_minus_woba_diff,est_slg_minus_slg_diff,est_ba_minus_ba_diff,bip,brl_pa,ev95plus,avg_hit_speed,avg_hit_angle,ev50,Swings,Swing Decisions,Z-Pitches,Z-Swings,O-Pitches,O-Swings,team_name
*04eh9*,OF,Nelson Velazquez,KC,"OF,UT",Res,25,@PIT Fri 5:40PM,205,41,31,8,27,61,2,0.64,64,*04eh9*,23359,676369.0,0.28,0.307,83.0,0.265,0.083,76.0,230.0,0.6759999999999999,0.465,904.0,0.7340000000000001,0.29100000000000004,0.381,0.392,-0.0269999999999999,-0.039,-0.0169999999999999,147.0,5.7,56.0,88.2,17.4,99.4,420.36,44.300000000000004,354.368,260.10611200000005,549.632,159.942912,Rantiago
*02334*,UT,J.D. Martinez,NYM,UT,Res,37,@PHI Fri 5:40PM,400,99,44,16,69,132,0,0.76,110,*02334*,6184,502110.0,0.331,0.354,111.0,0.289,0.099,117.0,456.0,0.698,0.486,1902.0,0.7170000000000001,0.324,0.449,0.41200000000000003,-0.0229999999999999,-0.0499999999999999,-0.013,270.0,8.8,123.0,91.0,14.8,101.3,924.372,39.300000000000004,783.624,561.858408,1118.376,362.35382400000003,Rantiago
*03qjy*,2B,Brandon Lowe,TB,"1B,2B",IR,30,@CLE Fri 6:10PM,328,80,50,18,51,94,5,0.806,93,*03qjy*,18882,664040.0,0.343,0.363,102.0,0.26,0.091,128.0,362.0,0.6970000000000001,0.5379999999999999,1406.0,0.795,0.345,0.465,0.43,-0.0199999999999999,-0.037,-0.016,230.0,8.3,107.0,90.8,14.6,101.7,756.4279999999999,45.00000000000001,604.58,480.64110000000005,801.4200000000001,276.4899,Rantiago
*066lr*,3B,Graham Pauley,MIA,3B,Min,23,@WSH Fri 5:45PM,32,4,4,2,5,15,0,0.438,13,*066lr*,31363,688363.0,0.183,0.215,45.0,0.469,0.0,17.0,32.0,0.75,0.514,140.0,0.726,0.284,0.529,0.521,-0.032,-0.016,-0.0529999999999999,17.0,3.1,9.0,85.8,17.7,98.9,71.96000000000001,44.2,72.94,52.95444,67.06,19.04504,Rantiago
*04efi*,C,Connor Wong,BOS,"C,1B",Act,28,@NYY Fri 6:05PM,406,116,53,13,48,102,6,0.778,114,*04efi*,19896,657136.0,0.335,0.292,123.0,0.233,0.053,113.0,438.0,0.737,0.514,1674.0,0.74,0.32899999999999996,0.349,0.45,0.043,0.068,0.0469999999999999,304.0,3.9,107.0,86.9,13.0,98.8,860.436,41.1,753.3000000000001,557.442,920.7,302.91029999999995,BurghtownOs
*04ok3*,1B,Michael Toglia,COL,"1B,OF",Act,26,CHC Fri 7:40PM,346,75,55,23,50,125,7,0.77,101,*04ok3*,25845,669911.0,0.332,0.361,89.0,0.315,0.113,100.0,391.0,0.6759999999999999,0.456,1642.0,0.7,0.295,0.493,0.39799999999999996,-0.0289999999999999,-0.049,-0.0269999999999999,222.0,9.7,110.0,92.1,15.7,102.4,748.7520000000001,40.5,653.516,457.46119999999996,988.4840000000002,291.60278000000005,BurghtownOs
*02bu9*,2B,Marcus Semien,TEX,2B,Act,33,@SEA Fri 9:10PM,588,140,90,20,69,95,6,0.697,144,*02bu9*,12533,543760.0,0.305,0.316,88.0,0.147,0.09,97.0,645.0,0.813,0.499,2366.0,0.79,0.302,0.342,0.40399999999999997,-0.011,-0.01,-0.018,491.0,4.7,168.0,87.2,17.2,97.7,1180.634,48.800000000000004,955.8639999999999,755.13256,1410.1360000000002,425.86107200000004,BurghtownOs
*04y44*,3B,Josh Jung,TEX,3B,Act,26,@SEA Fri 9:10PM,161,45,18,7,15,44,4,0.765,42,*04y44*,26299,673962.0,0.321,0.308,120.0,0.256,0.042,109.0,168.0,0.711,0.52,625.0,0.716,0.373,0.42700000000000005,0.429,0.013,0.006,0.021,117.0,7.1,50.0,87.2,12.6,98.5,325.0,34.3,268.125,191.9775,356.87499999999994,133.11437499999997,BurghtownOs
*052ru*,SS,Josh Smith,TEX,"3B,SS,OF",Act,27,@SEA Fri 9:10PM,463,122,59,12,56,106,9,0.752,135,*052ru*,26396,669701.0,0.334,0.304,112.0,0.2,0.084,118.0,525.0,0.805,0.46,2063.0,0.665,0.29600000000000004,0.359,0.446,0.03,0.0569999999999999,0.025,359.0,2.3,130.0,87.5,14.4,98.1,948.98,36.9,920.0980000000001,611.86517,1142.902,338.29899200000006,BurghtownOs
*03120*,OF,Cody Bellinger,CHC,"1B,OF",Act,29,@COL Fri 7:40PM,459,122,64,17,66,78,9,0.761,116,*03120*,15998,641355.0,0.326,0.304,97.0,0.153,0.084,111.0,509.0,0.799,0.499,1845.0,0.6890000000000001,0.354,0.314,0.43200000000000005,0.022,0.0359999999999999,0.022,385.0,4.5,122.0,87.6,16.5,97.2,920.655,33.50000000000001,797.0400000000001,549.1605600000001,1047.9599999999998,370.9778399999999,BurghtownOs
*03dgq*,OF,Ryan OHearn,BAL,"1B,OF",Act,31,@DET Fri 5:40PM,401,103,56,13,53,60,3,0.745,128,*03dgq*,16442,656811.0,0.324,0.356,95.0,0.133,0.098,113.0,450.0,0.8420000000000001,0.466,1758.0,0.703,0.28800000000000003,0.41600000000000004,0.429,-0.0319999999999999,-0.06,-0.023,344.0,5.6,144.0,90.1,12.3,100.1,819.2280000000001,41.49999999999999,754.182,530.189946,1003.8179999999999,289.099584,BurghtownOs
*01spl*,OF,Jurickson Profar,SD,OF,Act,31,@SF Fri 9:15PM,513,143,83,22,82,92,9,0.839,144,*01spl*,10815,595777.0,0.365,0.363,102.0,0.152,0.11699999999999999,140.0,607.0,0.845,0.449,2500.0,0.701,0.256,0.442,0.433,0.002,0.014,-0.001,428.0,5.1,190.0,91.2,12.8,100.9,1122.5,44.49999999999999,1082.5,758.8325,1417.4999999999998,362.87999999999994,BurghtownOs
*01s9c*,UT,Randal Grichuk,ARI,OF,Act,33,MIL Fri 8:40PM,233,65,33,9,37,43,0,0.821,95,*01s9c*,10243,545341.0,0.352,0.355,104.0,0.168,0.07,125.0,256.0,0.8190000000000001,0.47100000000000003,998.0,0.693,0.311,0.46399999999999997,0.419,-0.003,0.005,0.005,192.0,7.8,89.0,90.4,17.8,102.0,470.05800000000005,38.199999999999996,418.162,289.78626599999996,579.838,180.32961799999998,BurghtownOs
*01usi*,UT,Marcell Ozuna,ATL,UT,Act,33,LAD Fri 6:20PM,548,166,88,37,98,156,0,0.933,146,*01usi*,10324,542303.0,0.397,0.405,122.0,0.252,0.10300000000000001,156.0,620.0,0.7090000000000001,0.47200000000000003,2583.0,0.7509999999999999,0.302,0.534,0.379,-0.008,-0.0319999999999999,0.014,396.0,10.0,212.0,92.3,14.7,103.5,1219.1760000000002,44.89999999999999,978.957,735.1967069999998,1604.043,484.42098599999997,BurghtownOs
*025i9*,C,J.T. Realmuto,PHI,C,Res,33,NYM Fri 5:40PM,334,89,44,12,40,86,2,0.747,86,*025i9*,11739,592663.0,0.324,0.342,110.0,0.237,0.066,108.0,363.0,0.782,0.508,1390.0,0.7170000000000001,0.349,0.45,0.433,-0.018,-0.043,-0.007,249.0,6.6,114.0,89.0,8.6,101.0,706.12,36.80000000000001,601.87,431.5407900000001,788.1299999999999,275.05736999999993,BurghtownOs
*03m6o*,1B,Yandy Diaz,TB,1B,Res,33,@CLE Fri 6:10PM,529,150,51,14,65,88,0,0.76,134,*03m6o*,16578,650490.0,0.329,0.337,109.0,0.153,0.076,119.0,577.0,0.88,0.441,2272.0,0.6659999999999999,0.257,0.498,0.451,-0.008,-0.017,0.0,442.0,5.9,221.0,92.4,4.4,103.5,1001.952,40.89999999999999,1024.672,682.4315519999999,1247.3279999999997,320.5632959999999,BurghtownOs
*05rc3*,UT,Masataka Yoshida,BOS,OF,Res,31,@NYY Fri 6:05PM,336,96,40,9,49,49,1,0.779,96,*05rc3*,31837,807799.0,0.343,0.326,109.0,0.131,0.069,118.0,375.0,0.866,0.44299999999999995,1435.0,0.65,0.26899999999999996,0.385,0.456,0.017,0.0239999999999999,0.0269999999999999,288.0,4.3,111.0,88.2,10.3,99.5,635.7049999999999,38.10000000000001,654.36,425.334,780.6400000000001,209.99215999999998,BurghtownOs
